Country Name,Property Rights,Freedom from Corruption,Fiscal Freedom ,Gov't Spending,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom ,Financial Freedom,Tariff Rate (%),Income Tax Rate (%),Corporate Tax Rate (%),Tax Burden % of GDP,Gov't Expenditure % of GDP ,Population (Millions),GDP Growth Rate (%),Inflation (%),FDI Inflow (Millions),Public Debt (% of GDP)
Latvia,50.0,48.40686274509804,84.5479,56.51734653,79.725,63.48513192173753,81.6421964516845,87.655,83.75,52.5,1.1725,24.0,15.0,27.3,38.05775,2.08525,4.3797500000000005,1.803,957.9101280994083,36.010000000000005
Lebanon,20.0,26.127450980392158,91.076875,73.64136212,54.925,58.46852999331778,75.50011146691284,76.95,60.0,57.5,6.5249999999999995,20.0,15.0,16.35,29.62475,4.23625,1.5,4.1435,3222.5749182774,137.4595
Lesotho,36.25,42.51470588235294,60.7906,0.0,56.425,62.80687195779771,75.82561152351393,72.02499999999999,47.5,40.0,9.0,35.0,25.0,44.675,62.229,1.91475,4.0375000000000005,5.035,78.701995,41.74925
Liberia,27.5,35.205882352941174,81.7449,71.46895269250001,58.5,45.64221344157468,72.15508027872373,68.18,36.25,20.0,8.41,27.5,25.0,20.575,30.77125,4.0302500000000006,5.8045,8.19075,806.3425,26.4345
Lithuania,61.25,53.23039215686275,92.895,58.661832,82.05,61.28521865202958,80.68388811775714,87.655,80.0,80.0,1.1725,15.0,15.0,16.125,37.064750000000004,3.0477499999999997,3.91775,2.17375,700.1331510710753,38.89225
Luxembourg,90.0,82.77941176470588,62.804075,44.9707,73.1,41.71008164527028,80.51850975997202,87.655,95.0,80.0,1.1725,42.95,21.21,37.72625,42.81869141447691,0.536,1.495,2.17425,20642.572219539583,22.3655
Macedonia,35.0,41.90196078431373,91.5866,68.73952693,79.225,73.64356024552947,82.50225241512389,85.78,60.0,60.0,2.11,10.0,10.0,25.275,32.26475,2.06625,2.40875,2.467,309.6207935656271,33.787000000000006
Malawi,41.25,32.98039215686275,78.48497499999999,49.786504432499996,43.4,61.40853094600128,61.01112343251189,72.27000000000001,52.5,50.0,5.74,30.0,30.0,18.8,40.5355,16.87825,4.50925,20.09575,108.57257024161984,57.0615
Malaysia,55.0,47.3235294117647,84.787275,74.34015677,87.6,74.50836205278819,81.51552375517335,78.7,53.75,57.5,4.4,25.75,25.0,15.25408,29.2565,29.517500000000002,5.3645,2.528,11286.195647995184,55.783
Maldives,23.75,22.67058823529412,96.415521201111,42.430856032499996,85.85,69.8722945616392,71.73411164148536,45.775,30.0,30.0,20.85,0.0,0.0,18.23298,43.34225,0.3335,4.9205000000000005,7.36725,313.51425043489996,75.53999999999999
Mali,25.0,28.936274509803923,69.82249999999999,84.4078425325,47.9,57.32325259088065,80.17984188797487,72.45,56.25,40.0,8.15,40.0,35.0,13.825,22.695,16.21,2.51275,2.1645000000000003,274.37080713043497,31.41075
Malta,73.75,55.69117647058824,62.9766,45.5407818325,61.525,56.91648985733476,81.20858754406743,87.655,82.5,60.0,1.1725,35.0,35.0,35.35,42.606,0.4205,2.208,1.85275,1968.7077093927878,70.83225
Mauritania,25.0,26.975490196078432,80.946875,71.3909980325,45.125,51.74722814221208,76.23545985656918,67.95,48.75,40.0,8.525,30.75,25.0,18.125,30.70575,3.5549999999999997,5.7675,4.56375,724.0355018776546,79.73275
Mauritius,65.0,52.6078431372549,92.037775,83.14209172,77.025,70.88138070072935,77.09534212107869,88.385,85.0,70.0,0.8200000000000001,15.0,15.0,18.575,23.652,1.2865,3.4375,4.2095,327.83544663736467,51.89375
Mexico,50.0,32.18627450980392,78.6691,78.16323125,75.1,59.03211951342571,77.53327716782357,82.755,70.0,60.0,2.9975,32.5,30.0,12.4695,26.978749999999998,116.67975,2.7755,3.83475,23323.548007086174,45.97375
Moldova,40.0,32.13235294117647,85.882775,52.9669149925,67.8,39.683819060979665,75.11900029630593,78.37,47.5,50.0,3.315,18.0,9.0,31.325,39.5925,3.5585,4.76125,5.483750000000001,217.9775,25.77925
Montenegro,40.0,40.955882352941174,92.2859,40.1425624325,76.0,72.38207490443465,80.20218088754463,83.91499999999999,63.75,50.0,3.0425,9.0,9.0,24.65,44.659,0.62225,1.741,2.0452500000000002,527.9806951861405,53.0255
Morocco,40.0,35.81372549019608,71.2675,63.75563957,71.95,32.32466275792977,80.7606247950898,72.4,70.0,60.0,6.925,38.0,30.0,22.975,34.75375,32.685249999999996,3.6825,1.13175,3073.8531444635782,59.94525
